codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0215728AR,429093.3540000001,4586215.017,41.4243673,2.1514303,Styphnolobium japonicum,28.16933671,2,Cool
0215742AR,429009.888,4586304.36,41.4251646,2.150421,Styphnolobium japonicum,27.51757496,1,Coolest
0215755AR,429164.671,4586283.774,41.4249928,2.1522756,Styphnolobium japonicum,28.28650256,2,Cool
0215795AR,429053.936,4586040.451,41.4227916,2.1509791,Styphnolobium japonicum,27.38547058,1,Coolest
0215802AR,429153.209,4586276.749,41.4249286,2.1521393,Styphnolobium japonicum,28.23477757,2,Cool
0215815AR,429053.84,4586052.901,41.4229037,2.1509765,Styphnolobium japonicum,27.60093653,1,Coolest
0215816AR,429158.708,4586280.408,41.424962,2.1522047,Styphnolobium japonicum,28.2589493,2,Cool
0215822AR,429142.5,4586269.686,41.424864,2.152012,Styphnolobium japonicum,28.21570205,2,Cool
0215825AR,428993.674,4586289.846,41.4250324,2.1502287,Styphnolobium japonicum,27.41329004,1,Coolest
0215840AR,429054.63,4586084.729,41.4231904,2.1509822,Styphnolobium japonicum,27.88165741,2,Cool
0215852AR,429050.703,4586014.513,41.4225577,2.1509435,Styphnolobium japonicum,26.95394873,1,Coolest
