codi,LST_zone,SOS,POS,EOS,GSL
0065505AR,1,71.44572286143071,216.92846423211603,272.6413206603301,201.1955977988994
0065517AR,1,77.9239619809905,175.46773386693346,276.15807903951975,198.23411705852925
0065527AR,1,58.119059529764876,210.26513256628314,307.06853426713354,248.94947473736866
0065529AR,1,55.712856428214096,254.13206603301649,302.44122061030515,246.72836418209107
0065547AR,1,80.88544272136068,152.5162581290645,334.64732366183085,253.76188094047018
0065564AR,1,51.45572786393196,128.45422711355675,301.88594297148575,250.43021510755378
0065579AR,1,58.30415207603801,192.3111555777889,317.4337168584292,259.1295647823912
0065583AR,1,69.22461230615308,142.15107553776886,330.57528764382187,261.3506753376688
0065592AR,1,68.66933466733366,153.4417208604302,300.96048024012003,232.29114557278638
0065601AR,1,67.55877938969483,123.64182091045522,370.0,302.44122061030515
0065624AR,1,64.59729864932466,252.6513256628314,309.65982991495747,245.0625312656328
0065626AR,1,58.30415207603801,158.25412706353174,298.73936968484236,240.43521760880435
0065660AR,1,66.26313156578288,197.30865432716354,296.88844422211105,230.62531265632816
0065661AR,1,57.563781890945464,133.82191095547773,296.7033516758379,239.13956978489244
0065663AR,1,63.48674337168584,174.54227113556777,296.7033516758379,233.21660830415206
0065689AR,1,75.88794397198599,210.45022511255627,370.0,294.112056028014
0065693AR,1,57.74887443721861,143.07653826913457,250.80040020010006,193.05152576288145
0065703AR,1,64.96748374187092,214.89244622311156,278.5642821410705,213.5967983991996
