codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0236700AR,434179.792,4585448.389,41.4178953,2.2123796,Celtis australis,28.19581491,2,Cool
0236725AR,434373.365,4584995.687,41.4138338,2.2147448,Celtis australis,28.31801809,2,Cool
0236732AR,434190.73,4585676.56,41.4199513,2.2124856,Celtis australis,29.96507471,3,Warm
0236749AR,434061.678,4585712.934,41.4202683,2.2109375,Celtis australis,28.11582807,2,Cool
0236761AR,434192.453,4585592.608,41.4191953,2.2125153,Celtis australis,29.94331046,3,Warm
0236762AR,434300.317,4585282.798,41.4164137,2.2138396,Celtis australis,27.65078501,1,Coolest
0236772AR,434305.60900000005,4585575.199,41.4190478,2.2138712,Celtis australis,29.57262237,3,Warm
0236778AR,434598.585,4584996.426,41.4138588,2.2174393,Celtis australis,27.97863494,2,Cool
0236779AR,434239.086,4585107.068,41.414826,2.2131261,Celtis australis,28.07676783,2,Cool
0236787AR,434246.84,4585627.429,41.4195134,2.2131623,Celtis australis,29.87837869,3,Warm
0236804AR,434356.505,4584978.667,41.4136791,2.2145449,Celtis australis,28.69151865,2,Cool
0236827AR,434773.846,4585068.164,41.4145192,2.2195285,Celtis australis,28.24909539,2,Cool
0236830AR,434761.286,4585069.654,41.4145316,2.2193781,Celtis australis,28.38783453,2,Cool
0236835AR,434186.239,4585586.51,41.4191399,2.2124417,Celtis australis,29.91047286,3,Warm
0236836AR,434121.95,4585694.95,41.4201113,2.2116606,Celtis australis,29.53546445,3,Warm
