codi,LST_zone,SOS,POS,EOS,GSL
0024178AR,4,53.57798165137615,83.41117597998331,341.8640533778148,288.28607172643865
0024182AR,4,57.83986655546288,104.41618015012509,322.9899916597164,265.1501251042535
0024189AR,4,56.622185154295245,90.41284403669724,295.5921601334445,238.96997497914927
0024197AR,4,54.18682235195996,103.80733944954129,296.50542118432026,242.3185988323603
0024219AR,4,51.142618849040865,112.33110925771476,264.2368640533778,213.09424520433694
0024220AR,1,57.23102585487906,84.93327773144287,344.9082568807339,287.67723102585484
0024221AR,4,61.79733110925771,102.58965804837365,287.37281067556296,225.57547956630526
0024222AR,1,61.79733110925771,108.67806505421184,363.47789824854044,301.68056713928274
0024238AR,1,39.57464553794829,107.1559633027523,306.24687239366136,266.67222685571306
0024241AR,4,55.10008340283569,123.59466221851542,296.8098415346122,241.70975813177648
0024247AR,4,56.013344453711426,108.06922435362802,306.8557130942452,250.84236864053375
0024248AR,1,47.793994995829856,125.11676396997497,222.53127606338617,174.73728106755632
0024259AR,4,57.53544620517097,93.45704753961634,288.5904920767306,231.05504587155963
0024263AR,1,44.74979149291075,99.24103419516264,365.0,320.25020850708927
0024272AR,4,52.66472060050042,96.19683069224352,292.2435362802335,239.5788156797331
0024274AR,4,58.4487072560467,94.97914929107588,278.54462051709754,220.09591326105084
0024283AR,4,59.970809007506254,116.5929941618015,351.60550458715596,291.6346955796497
0024288AR,4,56.013344453711426,96.19683069224352,311.72643869891573,255.7130942452043
0024295AR,4,60.27522935779816,106.24270225187655,300.767306088407,240.49207673060883
0024300AR,4,53.57798165137615,85.8465387823186,328.7739783152627,275.19599666388655
0024303AR,1,62.710592160133444,115.67973311092577,297.11426188490407,234.40366972477062
0024305AR,4,55.10008340283569,167.73561301084237,315.37948290241866,260.27939949958295
0024310AR,4,54.18682235195996,84.62885738115095,354.649708090075,300.46288573811506
0024314AR,4,56.013344453711426,116.8974145120934,305.9424520433695,249.92910758965806
0024317AR,4,44.14095079232694,100.76313594662219,365.0,320.8590492076731
0024320AR,4,53.273561301084236,91.9349457881568,322.3811509591326,269.10758965804837
0024331AR,4,56.622185154295245,130.29190992493744,314.77064220183485,258.1484570475396
0024334AR,4,61.79733110925771,116.28857381150958,364.39115929941613,302.59382819015843
0024338AR,4,53.273561301084236,126.03002502085072,309.59549624687236,256.32193494578814
0024340AR,1,22.527105921601333,123.29024186822352,259.36613844870726,236.83903252710593
0024347AR,4,60.579649708090066,112.63552960800668,365.0,304.4203502919099
0024362AR,4,54.79566305254378,101.6763969974979,309.2910758965805,254.4954128440367
0024375AR,1,44.74979149291075,117.50625521267723,292.8523769808173,248.10258548790657
0024380AR,1,55.70892410341951,144.2952460383653,232.88156797331106,177.17264386989154
0024388AR,4,60.579649708090066,91.02168473728106,296.2010008340283,235.62135112593825
0024399AR,4,60.579649708090066,99.24103419516264,335.1668056713928,274.58715596330273
0024401AR,4,60.579649708090066,90.41284403669724,289.1993327773144,228.61968306922432
0024410AR,4,55.70892410341951,126.3344453711426,270.62969140950787,214.92076730608835
0024415AR,4,53.57798165137615,94.06588824020017,303.5070892410342,249.92910758965803
0024418AR,1,43.22768974145121,113.8532110091743,294.9833194328607,251.7556296914095
0024431AR,1,42.61884904086739,97.71893244370307,287.67723102585484,245.05838198498745
0024434AR,4,52.3603002502085,90.71726438698916,319.94578815679733,267.5854879065888
0024438AR,1,34.70391993327773,122.37698081734779,282.19766472060047,247.49374478732273
0024443AR,4,60.27522935779816,87.06422018348623,316.2927439532944,256.01751459549627
0024453AR,1,38.965804837364466,98.3277731442869,334.8623853211009,295.8965804837364
0024457AR,1,40.48790658882402,109.28690575479567,290.72143452877395,250.23352793994994
0024464AR,4,53.57798165137615,112.02668890742285,323.59883236030026,270.0208507089241
0024467AR,4,61.79733110925771,124.20350291909925,300.767306088407,238.9699749791493
0024472AR,4,52.96914095079233,136.68473728106756,295.89658048373644,242.9274395329441
0024477AR,4,48.402835696413675,116.5929941618015,364.69557964970807,316.2927439532944
0024482AR,1,115.37531276063386,313.5529608006672,365.0,249.62468723936615
0024501AR,4,54.18682235195996,99.54545454545453,310.2043369474562,256.01751459549627
0024505AR,1,41.705587989991656,112.63552960800668,309.59549624687236,267.8899082568807
0024512AR,1,49.011676396997494,104.720600500417,359.2160133444537,310.2043369474562
0024517AR,1,27.09341117597998,123.59466221851542,282.5020850708924,255.40867389491243
0024519AR,1,36.53044203502919,107.7648040033361,284.0241868223519,247.49374478732273
0024520AR,4,60.579649708090066,119.94161801501251,320.55462885738115,259.9749791492911
0024522AR,1,40.48790658882402,109.28690575479567,298.6363636363636,258.14845704753964
0024524AR,1,55.40450375312761,108.67806505421184,260.5838198498749,205.17931609674727
