codi,LST_zone,SOS,POS,EOS,GSL
0021130AR,1,72.3711855927964,119.01450725362682,328.7243621810905,256.3531765882941
0021138AR,1,64.96748374187092,156.4032016008004,284.8574287143571,219.8899449724862
0021139AR,1,67.92896448224111,116.79339669834917,282.6363181590795,214.7073536768384
0023230AR,1,74.40720360180089,121.60580290145073,367.03851925962977,292.63131565782885
0023272AR,1,69.03951975987994,112.53626813406702,297.0735367683842,228.03401700850426
0023302AR,4,63.67183591795897,90.6953476738369,334.64732366183085,270.9754877438719
0023311AR,1,64.04202101050525,136.41320660330166,369.6298149074537,305.5877938969484
0023398AR,4,63.85692846423211,103.28164082041019,370.0,306.1430715357679
0023407AR,4,59.04452226113056,98.83941970985492,346.12306153076537,287.0785392696348
0023449AR,1,69.03951975987994,128.0840420210105,265.7928964482241,196.75337668834416
0023552AR,1,66.81840920460229,146.96348174087044,344.08704352176085,277.26863431715856
0023680AR,1,74.40720360180089,204.8974487243622,339.08954477238615,264.68234117058523
0023708AR,4,65.89294647323662,137.7088544272136,339.2746373186593,273.38169084542267
0023720AR,1,68.66933466733366,134.00700350175086,370.0,301.33066533266634
0023821AR,1,58.119059529764876,114.9424712356178,353.52676338169084,295.407703851926
0023826AR,1,69.77988994497248,152.14607303651826,260.0550275137569,190.27513756878443
0023883AR,4,64.22711355677838,99.02451225612806,330.2051025512756,265.97798899449725
0023926AR,1,63.85692846423211,146.22311155577788,267.82891445722856,203.97198599299645
0023947AR,1,72.74137068534267,191.57078539269637,346.86343171585787,274.12206103051517
0023982AR,1,69.22461230615308,128.45422711355675,370.0,300.77538769384694
0024151AR,1,67.55877938969483,135.48774387193598,263.3866933466733,195.82791395697848
0024355AR,4,65.89294647323662,91.62081040520259,320.5802901450725,254.6873436718359
0024547AR,1,65.15257628814408,167.87893946973486,257.6488244122061,192.49624812406205
0024561AR,4,62.93146573286643,161.40070035017507,302.256128064032,239.32466233116557
0024594AR,1,72.3711855927964,127.34367183591795,322.24612306153074,249.87493746873434
0024661AR,1,67.18859429714857,118.4592296148074,368.33416708354173,301.14557278639313
0024683AR,1,64.7823911955978,128.82441220610306,345.9379689844922,281.15557778889445
0024714AR,4,59.78489244622311,110.68534267133566,364.26213106553274,304.4772386193096
0024832AR,1,71.44572286143071,128.0840420210105,288.1890945472736,216.7433716858429
